AILI(sub, obj, type, content, context, time)
SpeechPositive(1003, 1015, Positive, Having a great time!, home, 119)
SpeechNegative(1011, 1013, Negative, Not so fun... , home, 122)
SpeechPositive(997, 993, Positive, Having a great time!, home, 126)
SpeechPositive(1017, 1021, Positive, Having a great time!, home, 127)
SpeechGreet(1009, 1005, Positive, Nice to meet you!, home, 130)
SpeechPositive(1009, 1005, Positive, Having a great time!, home, 130)
SpeechPositive(1011, 1013, Positive, Having a great time!, home, 134)
SpeechNegative(1003, 1005, Negative, Not so fun... , home, 135)
SpeechNegative(1013, 1021, Negative, Not so fun... , home, 135)
SpeechPositive(993, 997, Positive, Having a great time!, home, 136)
SpeechPositive(989, 995, Positive, Having a great time!, home, 140)
SpeechPositive(995, 991, Positive, Having a great time!, home, 141)
SpeechPositive(1019, 1009, Positive, Having a great time!, home, 155)
SpeechNegative(991, 995, Negative, Not so fun... , home, 161)
SpeechPositive(995, 989, Positive, Having a great time!, home, 161)
SpeechGreet(1023, 1003, Positive, Nice to meet you!, home, 165)
SpeechPositive(1023, 1003, Positive, Having a great time!, home, 165)
SpeechPositive(991, 995, Positive, Having a great time!, home, 169)
SpeechPositive(995, 991, Positive, Having a great time!, home, 171)
SpeechPositive(1019, 1009, Positive, Having a great time!, home, 171)
SpeechPositive(1011, 1013, Positive, Having a great time!, home, 172)
SpeechPositive(1015, 1003, Positive, Having a great time!, home, 172)
SpeechPositive(1005, 1003, Positive, Having a great time!, home, 173)
SpeechNegative(1001, 1005, Negative, Not so fun... , home, 176)
SpeechNegative(993, 1025, Negative, Not so fun... , home, 177)
SpeechPositive(1017, 1013, Positive, Having a great time!, home, 177)
SpeechPositive(1013, 1017, Positive, Having a great time!, home, 180)
SpeechProposal(1013, 1017, Proposal, Will you come to the prom with me!, home, 180)
ThoughtConflict(1017, 1013, Conflict, Should I go to the Prom with 1013? I really want to go with 1015, home, 180)
SpeechAccept(1017, 1013, Accept, Yes 1013! I'd love to go to the Prom with you!, home, 180)
SpeechPositive(1015, 1005, Positive, Having a great time!, home, 180)
SpeechPositive(1015, 1001, Positive, Having a great time!, home, 181)
SpeechPositive(1015, 1005, Positive, Having a great time!, home, 182)
SpeechPositive(1005, 1019, Positive, Having a great time!, home, 185)
SpeechNegative(1001, 1003, Negative, Not so fun... , home, 186)
SpeechPositive(997, 993, Positive, Having a great time!, home, 188)
SpeechGreet(1009, 1015, Positive, Nice to meet you!, home, 188)
SpeechPositive(1009, 1015, Positive, Having a great time!, home, 188)
SpeechNegative(999, 995, Negative, Not so fun... , home, 193)
SpeechPositive(1003, 1015, Positive, Having a great time!, home, 196)
SpeechGreet(1009, 1023, Positive, Nice to meet you!, home, 196)
SpeechNegative(1009, 1023, Negative, Not so fun... , home, 196)
SpeechPositive(1003, 1019, Positive, Having a great time!, home, 197)
SpeechPositive(999, 991, Positive, Having a great time!, class1, 200)
SpeechPositive(1001, 1009, Positive, Having a great time!, class1, 200)
SpeechGreet(1019, 987, Positive, Nice to meet you!, class1, 265)
SpeechPositive(1019, 987, Positive, Having a great time!, class1, 265)
SpeechGreet(1009, 1007, Positive, Nice to meet you!, class1, 267)
SpeechPositive(1009, 1007, Positive, Having a great time!, class1, 267)
SpeechGreet(1019, 1007, Positive, Nice to meet you!, class1, 269)
SpeechNegative(1019, 1007, Negative, Not so fun... , class1, 269)
SpeechGreet(987, 1009, Positive, Nice to meet you!, class1, 273)
SpeechNegative(987, 1009, Negative, Not so fun... , class1, 273)
SpeechNegative(1007, 1019, Negative, Not so fun... , class1, 276)
SpeechGreet(1001, 993, Positive, Nice to meet you!, class1, 283)
SpeechNegative(1001, 993, Negative, Not so fun... , class1, 283)
SpeechPositive(1009, 987, Positive, Having a great time!, class1, 290)
SpeechNegative(1009, 1019, Negative, Not so fun... , class1, 291)
SpeechNegative(993, 1001, Negative, Not so fun... , class1, 305)
SpeechGreet(995, 993, Positive, Nice to meet you!, class1, 307)
SpeechPositive(995, 993, Positive, Having a great time!, class1, 307)
SpeechGreet(1025, 1011, Positive, Nice to meet you!, class1, 309)
SpeechPositive(1025, 1011, Positive, Having a great time!, class1, 309)
SpeechGreet(1005, 1011, Positive, Nice to meet you!, class1, 310)
SpeechPositive(1005, 1011, Positive, Having a great time!, class1, 310)
SpeechGreet(993, 1021, Positive, Nice to meet you!, class1, 311)
SpeechPositive(993, 1021, Positive, Having a great time!, class1, 311)
SpeechPositive(1013, 1021, Positive, Having a great time!, class1, 313)
SpeechNegative(1009, 987, Negative, Not so fun... , class1, 315)
SpeechPositive(987, 1009, Positive, Having a great time!, class1, 318)
SpeechPositive(1021, 1013, Positive, Having a great time!, class1, 327)
SpeechProposal(1021, 1013, Proposal, Will you come to the prom with me!, class1, 327)
SpeechDrop(1013, 1017, Drop, I'm Sorry 1017 I'm not going to the Prom with you anymore., class1, 327)
SpeechAccept(1013, 1021, Accept, Yes 1021! I'd love to go to the Prom with you!, class1, 327)
SpeechGreet(1017, 1023, Positive, Nice to meet you!, class1, 330)
SpeechPositive(1017, 1023, Positive, Having a great time!, class1, 330)
SpeechNegative(1005, 1011, Negative, Not so fun... , class1, 332)
SpeechGreet(995, 1021, Positive, Nice to meet you!, class1, 343)
SpeechPositive(995, 1021, Positive, Having a great time!, class1, 343)
SpeechGreet(1005, 1025, Positive, Nice to meet you!, class1, 350)
SpeechPositive(1005, 1025, Positive, Having a great time!, class1, 350)
SpeechPositive(1013, 1021, Positive, Having a great time!, class1, 350)
SpeechPositive(1017, 1023, Positive, Having a great time!, class1, 350)
SpeechPositive(1025, 1005, Positive, Having a great time!, class1, 360)
SpeechGreet(1013, 1001, Positive, Nice to meet you!, class1, 363)
SpeechPositive(1013, 1001, Positive, Having a great time!, class1, 363)
SpeechPositive(1011, 1005, Positive, Having a great time!, class1, 364)
SpeechGreet(993, 1013, Positive, Nice to meet you!, class1, 372)
SpeechPositive(993, 1013, Positive, Having a great time!, class1, 372)
SpeechPositive(1011, 1025, Positive, Having a great time!, class1, 375)
SpeechGreet(997, 1023, Positive, Nice to meet you!, class1, 378)
SpeechNegative(997, 1023, Negative, Not so fun... , class1, 378)
SpeechPositive(1019, 987, Positive, Having a great time!, class1, 380)
SpeechPositive(999, 991, Positive, Having a great time!, class1, 383)
SpeechPositive(1001, 993, Positive, Having a great time!, class1, 385)
SpeechGreet(1001, 995, Positive, Nice to meet you!, class1, 403)
SpeechPositive(1001, 995, Positive, Having a great time!, class1, 403)
SpeechPositive(995, 1001, Positive, Having a great time!, class1, 410)
SpeechNegative(1011, 1025, Negative, Not so fun... , class1, 421)
SpeechGreet(997, 1017, Positive, Nice to meet you!, class1, 422)
SpeechPositive(997, 1017, Positive, Having a great time!, class1, 422)
SpeechNegative(993, 1013, Negative, Not so fun... , class1, 426)
SpeechPositive(1019, 987, Positive, Having a great time!, class1, 436)
SpeechGreet(1001, 1021, Positive, Nice to meet you!, class1, 438)
SpeechPositive(1001, 1021, Positive, Having a great time!, class1, 438)
SpeechPositive(987, 1009, Positive, Having a great time!, class1, 441)
SpeechNegative(1005, 1011, Negative, Not so fun... , class1, 446)
SpeechPositive(1021, 993, Positive, Having a great time!, class1, 448)
SpeechPositive(1001, 993, Positive, Having a great time!, class1, 451)
SpeechNegative(1023, 1017, Negative, Not so fun... , class1, 455)
SpeechPositive(1001, 1021, Positive, Having a great time!, class1, 463)
SpeechPositive(991, 999, Positive, Having a great time!, class1, 466)
